region,statut,part
Auvergne-Rhône-Alpes,Privé enseignement supérieur,2.6217228464419478
Bourgogne-Franche-Comté,Privé enseignement supérieur,4.054054054054054
Bretagne,Privé enseignement supérieur,3.4482758620689653
Centre-Val de Loire,Privé enseignement supérieur,2.097902097902098
Grand Est,Privé enseignement supérieur,4.071969696969697
Hauts-de-France,Privé enseignement supérieur,1.231060606060606
Normandie,Privé enseignement supérieur,1.9834710743801653
Nouvelle-Aquitaine,Privé enseignement supérieur,3.4334763948497855
Occitanie,Privé enseignement supérieur,2.6192703461178675
Pays de la Loire,Privé enseignement supérieur,2.608695652173913
Provence-Alpes-Côte d'Azur,Privé enseignement supérieur,1.2896825396825395
Île-de-France,Privé enseignement supérieur,2.2900763358778624
Auvergne-Rhône-Alpes,Privé hors contrat,48.81398252184769
Bourgogne-Franche-Comté,Privé hors contrat,28.764478764478763
Bretagne,Privé hors contrat,68.30870279146141
Centre-Val de Loire,Privé hors contrat,32.634032634032636
Grand Est,Privé hors contrat,37.68939393939394
Hauts-de-France,Privé hors contrat,31.25
Normandie,Privé hors contrat,48.925619834710744
Nouvelle-Aquitaine,Privé hors contrat,33.15450643776824
Occitanie,Privé hors contrat,38.91487371375117
Pays de la Loire,Privé hors contrat,39.62732919254658
Provence-Alpes-Côte d'Azur,Privé hors contrat,58.23412698412699
Île-de-France,Privé hors contrat,59.223918575063614
Auvergne-Rhône-Alpes,Privé sous contrat d'association,21.785268414481898
Bourgogne-Franche-Comté,Privé sous contrat d'association,25.482625482625483
Bretagne,Privé sous contrat d'association,17.077175697865353
Centre-Val de Loire,Privé sous contrat d'association,27.73892773892774
Grand Est,Privé sous contrat d'association,24.431818181818183
Hauts-de-France,Privé sous contrat d'association,27.083333333333332
Normandie,Privé sous contrat d'association,19.33884297520661
Nouvelle-Aquitaine,Privé sous contrat d'association,29.399141630901287
Occitanie,Privé sous contrat d'association,23.573433115060805
Pays de la Loire,Privé sous contrat d'association,38.13664596273292
Provence-Alpes-Côte d'Azur,Privé sous contrat d'association,17.75793650793651
Île-de-France,Privé sous contrat d'association,20.928753180661577
Auvergne-Rhône-Alpes,Public,26.779026217228463
Bourgogne-Franche-Comté,Public,41.6988416988417
Bretagne,Public,11.16584564860427
Centre-Val de Loire,Public,37.52913752913753
Grand Est,Public,33.80681818181818
Hauts-de-France,Public,40.43560606060606
Normandie,Public,29.75206611570248
Nouvelle-Aquitaine,Public,34.012875536480685
Occitanie,Public,34.892422825070156
Pays de la Loire,Public,19.627329192546583
Provence-Alpes-Côte d'Azur,Public,22.71825396825397
Île-de-France,Public,17.557251908396946
