filiere,secteur,neobac,boursiers,part,nom
Autre formation,Privé,6112,630,10.30759162303665,Autre formation
Autre formation,Public,22515,4389,19.49367088607595,Autre formation
BTS,Privé,20291,3756,18.510669755063823,BTS
BTS,Public,69576,22764,32.71817868230424,BTS
BUT,Public,47158,9454,20.04749989397345,BUT
CPGE,Privé,4692,196,4.177323103154305,CPGE
CPGE,Public,34816,3865,11.101217830882353,CPGE
EFTS,Privé,2913,454,15.585307243391691,EFTS
Ecole d'Ingénieur,Privé,10301,506,4.912144451994952,Ecole d'Ingénieur
Ecole d'Ingénieur,Public,9334,889,9.52431969145061,Ecole d'Ingénieur
Ecole de Commerce,Privé,13210,644,4.875094625283876,Ecole de Commerce
Ecole de Commerce,Public,380,35,9.210526315789473,Ecole de Commerce
IFSI,Privé,3418,775,22.67407840842598,IFSI
IFSI,Public,15978,3876,24.25835523845287,IFSI
Licence,Privé,9742,890,9.135701088072265,Licence
Licence,Public,173704,38103,21.93559158108046,Licence
Licence_Las,Privé,653,33,5.053598774885145,Licence_Las
Licence_Las,Public,16263,3406,20.943245403677057,Licence_Las
PASS,Public,24160,4396,18.195364238410598,PASS
