region,prive_2001,prive_2024,croissance
Auvergne-Rhône-Alpes,36020,107818,199.3281510272071
Bourgogne-Franche-Comté,5741,11575,101.61992684201357
Bretagne,15523,35645,129.62700508922245
Centre-Val de Loire,5866,12714,116.74053869757928
Collectivités d'outre-mer,68,1347,1880.8823529411764
Corse,106,490,362.26415094339626
Grand Est,14479,34868,140.8177360314939
Guadeloupe,387,1750,352.1963824289406
Guyane,247,767,210.52631578947367
Hauts-de-France,30245,71280,135.6753182344189
La Réunion,852,2647,210.6807511737089
Martinique,767,1262,64.53715775749673
Mayotte,0,86,
Normandie,9634,26909,179.31285032177703
Nouvelle-Aquitaine,16268,55541,241.41258913203836
Occitanie,22081,58763,166.12472261220054
Pays de la Loire,25487,56402,121.29713187114999
Provence-Alpes-Côte d'Azur,17499,44342,153.39733699068518
Étranger,0,5640,
Île-de-France,90699,271914,199.7982337181226
