filiere,secteur,capa,adm,remplissage
Commerce International,Privé,2250,1992,88.53333333333333
Commerce International,Public,5808,3580,61.63911845730028
Comptabilité et gestion,Privé,2705,1926,71.20147874306839
Comptabilité et gestion,Public,8748,6696,76.5432098765432
D.E Assistant de Service Social,Privé,2108,1733,82.21062618595826
D.E Assistant de Service Social,Public,38,36,94.73684210526315
D.E Educateur Spécialisé,Privé,3457,3384,97.88834249349146
D.E Educateur Spécialisé,Public,18,14,77.77777777777779
D.E Infirmier,Privé,5591,5509,98.53335718118404
D.E Infirmier,Public,25222,25063,99.36959797002616
Droit,Privé,3167,2879,90.90622039785285
Droit,Public,45501,45465,99.92088085976133
Formation d'ingénieur Bac + 5,Privé,14042,10055,71.60660874519299
Formation d'ingénieur Bac + 5,Public,10040,9872,98.32669322709164
Formation des écoles de commerce et de management Bac + 3,Privé,11206,6411,57.21042298768517
Formation des écoles de commerce et de management Bac + 3,Public,510,396,77.64705882352942
Formation des écoles de commerce et de management Bac + 4,Privé,4617,4064,88.02252544942604
Formation des écoles de commerce et de management Bac + 4,Public,30,26,86.66666666666667
Formation des écoles de commerce et de management Bac + 5,Privé,6405,4408,68.82123341139734
Formation des écoles de commerce et de management Bac + 5,Public,100,98,98.0
Gestion de la PME,Privé,2224,1558,70.05395683453237
Gestion de la PME,Public,6753,4992,73.9227010217681
Management Commercial Opérationnel,Privé,3743,2600,69.46299759551162
Management Commercial Opérationnel,Public,10231,6959,68.01876649398886
Négociation et digitalisation de la Relation Client,Privé,2056,1666,81.03112840466926
Négociation et digitalisation de la Relation Client,Public,7942,5520,69.50390329891715
Services informatiques aux organisations,Privé,2298,1712,74.49956483899042
Services informatiques aux organisations,Public,5184,3662,70.64043209876543
